Questions,Subject,Question,option_1,option_2,option_3,option_4,correct_answer,topic,Topic_Difficulty,student_id,quiz_attempt,score,time_taken,difficulty,recommended_next_topic
"A microscope has an objective of focal
length \( 1.5 \mathrm{cm} \) and eye piece of focal
length \( 2.5 \mathrm{cm} . \) If the distance between
objective and eye-piece is \( 25 \mathrm{cm} \). What is the approximate value of magnification produced for relaxed
eye?
[Disclaimer: Option A is changed from
\( \mathbf{7 5} \) to \( \mathbf{1 8 3 . 3 3} \) as the correct answer is
183.33 which is not present in the given options.]
A . 183.33
B. 110
c. 140
D. 25",Physics,,,,,,,Optics,Easy,1024,6,65,69,Medium,mechanics
"A radioactive element X decays by the
sequence and with half life given below:
\( \boldsymbol{X} \frac{\boldsymbol{\alpha}}{\mathbf{3 0 m i n}} \boldsymbol{Y} \frac{\mathbf{2} \boldsymbol{\beta}}{\mathbf{2 d a y s}} \boldsymbol{Z} \)
which of the following statements about this system are correct?
A. After two hours, less than \( 10 \% \) of the initial \( x \) is left
B. An intermediate nuclide exists between Y and Z
c. Atomic number of \( x \) and \( z \) are same
D. The mass number of Y is greater than \( x \)",Physics,"A radioactive element X decays by the
sequence and with half life given below:
\( \boldsymbol{X} \frac{\boldsymbol{\alpha}}{\mathbf{3 0 m i n}} \boldsymbol{Y} \frac{\mathbf{2} \boldsymbol{\beta}}{\mathbf{2 d a y s}} \boldsymbol{Z} \)
which of the following statements about this system are correct?","After two hours, less than \( 10 \% \) of the initial \( x \) is left",An intermediate nuclide exists between Y and Z,Atomic number of \( x \) and \( z \) are same,The mass number of Y is greater than \( x \),,Mechanics,Medium,1010,6,35,126,Easy,mechanics
"The electrical appliances in a house are
connected in :
A. series
B. parallel
c. either in series or parallel
D. both in series and parallel",Physics,"The electrical appliances in a house are
connected in :",series,parallel,either in series or parallel,both in series and parallel,,Other,Unknown,1008,9,62,118,Medium,optics
"Which of the following are close to ideal plastics?
This question has multiple correct options
A. Putty
B. Mudd
c. Rubber band
D. None of the above",Physics,"Which of the following are close to ideal plastics?
This question has multiple correct options",Putty,Mudd,Rubber band,None of the above,,Other,Unknown,1083,3,23,86,Easy,other
"A block is gently placed on a conveyor belt moving horizontally with constant
speed. After \( t=4 s, \) the velocity of the
block becomes equal to the velocity of the belt. If the coefficient of friction
between the block and the belt is \( \mu= \)
\( 0.2, \) then the velocity of the conveyor
belt is
\( \mathbf{A} \cdot 8 m s^{-1} \)
B. \( 4 m s^{-1} \)
\( \mathbf{c} \cdot 6 m s^{-1} \)
D. \( 18 \mathrm{ms}^{-1} \)",Physics,,,,,,,Kinematics,Easy,1012,2,28,90,Easy,kinematics
"A barometer tube, containing mercury, is lowered in a vessel containing mercury until only \( 50 \mathrm{cm} \) of the tube is
above the level of mercury in the vessel.
If the atmospheric pressure is \( 75 \mathrm{cm} \) of
mercury, what is the pressure at the top of the tube
A. \( 33.3 k P a \)
в. \( 66.7 k P a \)
c . 3.33 M \( P a \)
D. \( 6.67 M P a \)",Physics,,,,,,,Other,Unknown,1099,6,61,112,Medium,mechanics
"State whether given statement is True or False
Air conducts heat
A. True
B. False",Physics,,,,,,,Thermodynamics,Medium,1035,2,65,86,Medium,mechanics
"The increase in pressure required to decrease the 200 litres volume of a
liquid by \( 0.004 \% \) in kPa is : (bulk modulus of the liquid \( =2100 M P a) \)
A . 8.4
B. 84
c. 92.4
D. 168",Physics,"The increase in pressure required to decrease the 200 litres volume of a
liquid by \( 0.004 \% \) in kPa is : (bulk modulus of the liquid \( =2100 M P a) \)
A . 8.4","\)
A . 8.4",84,92.4,168,,Other,Unknown,1027,4,83,68,Hard,kinematics
"n the circuit shown, the value of
currents \( I_{1}, I_{2} \) and \( I_{3} \) are.
' \( \quad 3 A, \frac{-3}{2} A, \frac{9}{2} A \)
3. \( \frac{9}{2} A, 3 A, \frac{-3}{2} A \)
c. \( 5 A, 4 A,-3 A \)
\( 7 A, \frac{5}{4} A, \frac{9}{2} A \)",Physics,,,,,,,Electricity,Hard,1045,10,30,178,Easy,electricity
"Assertion: A raindrop after falling through some height attains a constant
velocity
Reason: At constant velocity, the
viscous drag is equal to its weight.
A. Both assertion and reason are true and reason is correct explanation of assertion
B. Both assertion and reason are true but reason is not the correct explanation of assertion.
c. Assertion is true but reason is false.
D. Both assertion and reason are false",Physics,"Assertion: A raindrop after falling through some height attains a constant
velocity
Reason: At constant velocity, the
viscous drag is equal to its weight.",Both assertion and reason are true and reason is correct explanation of assertion,Both assertion and reason are true but reason is not the correct explanation of assertion.,Assertion is true but reason is false.,Both assertion and reason are false,,Kinematics,Easy,1050,5,27,196,Easy,kinematics
"The melting point of mercury is:
A \( .38 .8^{\circ} \mathrm{C} \)
B . \( -38.8^{\circ} \mathrm{C} \)
c. \( 4250^{\circ} \mathrm{C} \)
D. \( 452^{\circ} \mathrm{C} \)",Physics,,,,,,,Other,Unknown,1001,7,97,208,Hard,kinematics
"Unpolarised light of intensity \( 32 \mathrm{W} \mathrm{m}^{-2} \)
passes through three polarizes is crossed with that of the first. The
intensity of final emerging light is 3 \( \mathrm{W} \mathrm{m}^{-2} . \) The intensity of light transmitted by first polarizer will be
\( A \cdot 32 W m^{-2} \)
B. \( 16 \mathrm{W} \mathrm{m}^{-2} \)
\( c \cdot 8 w m^{-2} \)
D. \( 4 \mathrm{Wm}^{-2} \)",Physics,,,,,,,Optics,Easy,1046,7,65,119,Medium,optics
"Two identical particles \( B \) and \( C \) each of
mass \( 50 g \) are connected by a light rod of length \( 30 C M . \) Another particle \( A \) of
same mass moving with a speed \( u= \)
\( 60 C M / s \) strikes \( B, \) in a direction
perpendicular to \( A B, \) and sticks to it.
The whole process takes place on a smooth horizontal plane. Find the
angular velocity \( \omega \) of the system about
its centre of mass, immediately after the impact.",Physics,,,,,,,Kinematics,Easy,1078,4,62,50,Medium,mechanics
"A system has two charges \( \boldsymbol{q}_{\boldsymbol{A}}=\boldsymbol{2 . 5} \times \)
\( \mathbf{1 0}^{-7} \boldsymbol{C} \) and \( \boldsymbol{q}_{B}=-\mathbf{2 . 5} \times \mathbf{1 0}^{-\mathbf{7}} \boldsymbol{C} \) located
at points \( \boldsymbol{A}:(\mathbf{0}, \mathbf{0}, \mathbf{1 5} \mathbf{c m}) \) and \( \boldsymbol{B} \)
\( (0,0,+15 c m), \) respectively. What are
the total charge and electric dipole
moment of the system?",Physics,,,,,,,Electricity,Hard,1039,7,42,138,Medium,mechanics
"f the energy loss during collision is \( \frac{y m g l}{16}, \) find the value of \( y \)",Physics,,,,,,,Mechanics,Medium,1024,2,89,97,Hard,kinematics
"The sensitiveness of a moving coil galvanometer can be increased by decreasing
A. the number of turns in the coil
B. the area of coil
c. the magnetic field
D. the couple per unit twist of the suspension",Physics,The sensitiveness of a moving coil galvanometer can be increased by decreasing,the number of turns in the coil,the area of coil,the magnetic field,the couple per unit twist of the suspension,,Other,Unknown,1035,9,29,130,Easy,other
"Efficiency of gasoline is measured in terms of:
A. butane number
B. octane number
c. hexane number
D. none of these",Physics,Efficiency of gasoline is measured in terms of:,butane number,octane number,hexane number,none of these,,Thermodynamics,Medium,1002,10,82,157,Hard,thermodynamics
"The series combination of two batteries,
both of the same emf \( 10 V \), but different
internal resistance of \( 20 \Omega \) and \( 5 \Omega \), is
connected to the parallel combination of two resistors \( 30 \Omega \) and \( R \Omega \). The
voltage difference across the battery of internal resistance \( 20 \Omega \) is zero, the
value of \( R\left(\text { in } \Omega \text { is }_{-}-\dots\right. \)",Physics,,,,,,,Electricity,Hard,1039,6,55,94,Medium,electricity
"If \( 1 \mathrm{g} \mathrm{cm}^{-3}=10^{3} \mathrm{kg} \mathrm{m}^{-3} \) then
\( 10^{6} k g m^{-3}= \)
A \( \cdot 10^{-3} g c m^{-3} \)
В \( \cdot 10^{6} g c m^{-3} \)
\( \mathbf{c} \cdot 10^{3} g c m^{-3} \)
D. \( 10^{-6} g c m^{-3} \)",Physics,,,,,,,Other,Unknown,1041,5,51,276,Medium,mechanics
"Which one of the following can produce maximum induced emf?
A. 50 ampere DC
B. 50 ampere, \( 50 H z \) AC
c. 50 ampere, \( 500 \mathrm{Hz} \) АС
D. 100 ampere DC",Physics,Which one of the following can produce maximum induced emf?,50 ampere DC,"50 ampere, \( 50 H z \) AC","50 ampere, \( 500 \mathrm{Hz} \) АС",100 ampere DC,,Other,Unknown,1062,2,65,155,Medium,electricity
"A force of \( 100 N \) acting on a body for 5
second gives it a velocity of \( 20 m s^{-1} \) Calculate the mass of the body.
A. \( 50 \mathrm{kg} \)
B. 25 kg
c. \( 75 \mathrm{kg} \)
D. \( 100 \mathrm{kg} \)",Physics,"A force of \( 100 N \) acting on a body for 5
second gives it a velocity of \( 20 m s^{-1} \) Calculate the mass of the body.",\( 50 \mathrm{kg} \),25 kg,\( 75 \mathrm{kg} \),\( 100 \mathrm{kg} \),,Kinematics,Easy,1028,7,20,149,Easy,kinematics
"Two diamonds begin a free fall from rest
from the same height, 1.0 s apart. How long after the first diamond begins to fall will the two diamonds be \( 10 \mathrm{m} \)
apart? Take \( g=10 m / s^{2} \)",Physics,,,,,,,Kinematics,Easy,1093,1,95,106,Hard,kinematics
"Two concentric coils of radius \( r \) are
kept mutually perpendicular to each other. If current flowing through both
the coils is \( I, \) then the resultant
magnetic moment due to the two coils will be
A . \( \sqrt{2} I \pi r^{2} \)
В. \( \sqrt{2} I r^{2} \)
c. \( \sqrt{2} I r \)
D. \( 2 \pi r^{2} \)",Physics,,,,,,,Electricity,Hard,1012,9,57,286,Medium,optics
"Two positive point charges of \( 12 \mu C \) and
\( 8 \mu C \) are \( 10 c m \) apart. The work done in
bringing them \( 4 c m \) closer is
A . \( 5.8 . J \)
B. \( 5.8 e V \)
c. \( 13 . J \)
D. \( 13 e V \)",Physics,,,,,,,Mechanics,Medium,1043,1,35,74,Easy,mechanics
"A body initially at rest travels a distance of \( 100 m \) in \( 5 s \) with a constant
acceleration. Find the final velocity at
the end of \( 5 s \)
\( \mathbf{A} \cdot 20 m s^{-1} \)
B. \( 30 m s^{-1} \)
\( \mathbf{c} \cdot 35 m s^{-1} \)
D. \( 40 \mathrm{ms}^{-1} \)",Physics,,,,,,,Kinematics,Easy,1092,5,29,198,Easy,kinematics
"The clarification of discrete energy
levels in atoms was first given
experimentally by :
A. Thomsons experiment
B. Millikans oil drop experiment
c. Frank - Hertz experiment
D. Leonard experiment",Physics,"The clarification of discrete energy
levels in atoms was first given
experimentally by :",Thomsons experiment,Millikans oil drop experiment,Frank - Hertz experiment,Leonard experiment,,Mechanics,Medium,1031,3,44,49,Medium,electricity
"A fruit appears to be bigger in a glass of
water due to",Physics,,,,,,,Other,Unknown,1014,8,25,248,Easy,other
"For what distance is ray optics a good approximation when the aperture is \( 4 m m \) and the wavelength of light is
\( 400 n m ? \)
A \( .24 m \)
в. \( 40 m \)
\( c .18 m \)
D. 30m",Physics,,,,,,,Optics,Easy,1088,1,98,290,Hard,kinematics
"Concave lens is used to correct
A. Myopia
B. Presbiopia
C. Hypermetropia
D. cataract",Physics,Concave lens is used to correct,Myopia,Presbiopia,Hypermetropia,cataract,,Optics,Easy,1014,5,74,146,Hard,kinematics
"What is a free electron?
A. Any electron that is not attached to an ion, atom, or molecule and is free to move under the influence of an applied electric or magnetic field
B. Any electron that is attached to an ion, atom, or molecule and is free to move under the influence of an applied electric or magnetic field
C. Any neutron that is not attached to an ion, atom, or molecule and is free to move under the influence of an applied electric or magnetic field
D. None",Physics,What is a free electron?,"Any electron that is not attached to an ion, atom, or molecule and is free to move under the influence of an applied electric or magnetic field","Any electron that is attached to an ion, atom, or molecule and is free to move under the influence of an applied electric or magnetic field","Any neutron that is not attached to an ion, atom, or molecule and is free to move under the influence of an applied electric or magnetic field",None,,Modern Physics,Hard,1010,3,51,143,Medium,electricity
"toppr
Q Type your question
end, the shape of wave at time \( t=3 s \) is
\( A \)
B.
\( c \)
\( D \)",Physics,,,,,,,Other,Unknown,1001,2,55,286,Medium,electricity
"If \( \boldsymbol{A}=\mathbf{1}, \boldsymbol{B}=\mathbf{0} \) then the value of \( \overline{\boldsymbol{A}}+\boldsymbol{B} \)
in terms of Boolean algebra is
A . \( A \)
в. \( B \)
c. \( B+A \)
D. A.B",Physics,,,,,,,Other,Unknown,1025,5,63,91,Medium,electricity
"An object is placed in front of a thin convex lens of focal length \( 30 \mathrm{cm} \) and a plane mirror is placed \( 15 \mathrm{cm} \) behind the lens. If the final image of the object coincides with the object, the distance of the object from the lens is :
\( A \cdot 60 \mathrm{cm} \)
B. 30 cm
c. \( 15 \mathrm{cm} \)
D. 25 cm",Physics,,,,,,,Optics,Easy,1067,9,49,90,Medium,mechanics
"For a transformer, the turns ratio is 3 and its efficiency is \( 0.75 . \) The current flowing in the primary coil is \( 2 A \) and the
voltage applied to it is \( 100 \mathrm{V} \). Then the
voltage and the current flowing in the secondary coil are
respectively.
A. \( 150 V, 1.5 A \)
B . \( 300 V, 0.5 A \)
c. \( 300 V, 1.5 A \)
D. \( 150 V, 0.5 A \)",Physics,,,,,,,Electricity,Hard,1043,6,85,279,Hard,kinematics
"Which one is more elastic steel or
rubber.Explain.",Physics,,,,,,,Other,Unknown,1069,8,48,292,Medium,electricity
"In solar water heater, a coper pipe with
its outer surface painted in black is fixed in the form of a coil in a box.
A. The only purpose of bending copper pipe is to increase the capacity of water storage.
B. Bending copper pipe as a coil helps to increase the surface area for heating.
C. Both (1) and
(2) are true
D. Both (1) and
(2) are false",Physics,"In solar water heater, a coper pipe with
its outer surface painted in black is fixed in the form of a coil in a box.",The only purpose of bending copper pipe is to increase the capacity of water storage.,Bending copper pipe as a coil helps to increase the surface area for heating.,"Both (1) and
(2) are true","Both (1) and
(2) are false",,Thermodynamics,Medium,1029,1,93,78,Hard,kinematics
